elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
44.31,B,-87,33.27,Far,17.29,10.77,F,5.49,weak,trotting,0.3163,17.29,10.77
44.31,C,-52,2.18,Far,17.29,10.77,F,5.49,weak,trotting,0.3163,17.29,10.77
45.31,A,-79,28.97,Far,17.90,8.34,F,3.15,weak,trotting,0.0259,17.90,8.34
45.31,B,-89,33.97,Far,17.90,8.34,F,3.15,weak,trotting,0.0259,17.90,8.34
45.31,C,-51,1.16,Near,17.90,8.34,F,3.15,weak,trotting,0.0259,17.90,8.34
46.30,A,-79,26.48,Far,18.51,5.93,F,1.50,weak,trotting,0.4066,18.51,5.93
46.30,B,-88,34.39,Far,18.51,5.93,F,1.50,weak,trotting,0.4066,18.51,5.93
46.30,C,-53,0.85,Near,18.51,5.93,F,1.50,weak,trotting,0.4066,18.51,5.93
47.31,A,-80,24.96,Far,19.12,3.50,F,2.65,weak,trotting,0.6064,19.12,3.50
47.31,B,-88,34.79,Far,19.12,3.50,F,2.65,weak,trotting,0.6064,19.12,3.50
47.31,C,-60,0.92,Near,19.12,3.50,F,2.65,weak,trotting,0.6064,19.12,3.50
48.31,A,-77,22.39,Far,16.66,3.05,F,4.46,weak,trotting,0.2628,16.66,3.05
48.31,B,-88,35.16,Far,16.66,3.05,F,4.46,weak,trotting,0.2628,16.66,3.05
48.31,C,-72,1.27,Far,16.66,3.05,F,4.46,weak,trotting,0.2628,16.66,3.05
49.31,A,-77,20.42,Far,14.20,2.60,A,4.94,weak,trotting,0.7561,14.20,2.60
49.31,B,-86,34.88,Far,14.20,2.60,A,4.94,weak,trotting,0.7561,14.20,2.60
49.31,C,-75,1.73,Far,14.20,2.60,A,4.94,weak,trotting,0.7561,14.20,2.60
50.30,A,-78,19.21,Far,16.48,1.58,F,5.65,weak,trotting,0.0218,16.48,1.58
50.30,B,-84,33.87,Far,16.48,1.58,F,5.65,weak,trotting,0.0218,16.48,1.58
50.30,C,-75,2.25,Far,16.48,1.58,F,5.65,weak,trotting,0.0218,16.48,1.58
51.30,A,-79,18.47,Far,16.63,4.07,F,3.88,weak,trotting,0.4508,16.63,4.07
51.30,B,-87,34.00,Far,16.63,4.07,F,3.88,weak,trotting,0.4508,16.63,4.07
51.30,C,-72,2.67,Far,16.63,4.07,F,3.88,weak,trotting,0.4508,16.63,4.07
52.31,A,-81,18.31,Far,16.78,6.57,F,3.27,weak,trotting,0.8450,16.78,6.57
52.31,B,-87,34.13,Far,16.78,6.57,F,3.27,weak,trotting,0.8450,16.78,6.57
52.31,C,-75,3.20,Far,16.78,6.57,F,3.27,weak,trotting,0.8450,16.78,6.57
53.31,A,-83,18.55,Far,16.93,9.07,F,4.34,weak,trotting,0.0829,16.93,9.07
53.31,B,-88,34.53,Far,16.93,9.07,F,4.34,weak,trotting,0.0829,16.93,9.07
53.31,C,-78,3.85,Far,16.93,9.07,F,4.34,weak,trotting,0.0829,16.93,9.07
54.31,A,-86,19.23,Far,17.08,11.57,F,6.29,weak,trotting,0.3757,17.08,11.57
54.31,B,-91,35.59,Far,17.08,11.57,F,6.29,weak,trotting,0.3757,17.08,11.57
54.31,C,-80,4.59,Far,17.08,11.57,F,6.29,weak,trotting,0.3757,17.08,11.57
55.31,A,-81,18.98,Far,17.23,14.07,P,4.81,weak,trotting,0.6024,17.23,14.07
55.31,B,-87,35.61,Far,17.23,14.07,P,4.81,weak,trotting,0.6024,17.23,14.07
55.31,C,-77,5.16,Far,17.23,14.07,P,4.81,weak,trotting,0.6024,17.23,14.07
56.30,A,-83,19.18,Far,17.38,16.54,P,3.00,weak,trotting,0.0077,17.38,16.54
56.30,B,-87,35.64,Far,17.38,16.54,P,3.00,weak,trotting,0.0077,17.38,16.54
56.30,C,-75,5.52,Far,17.38,16.54,P,3.00,weak,trotting,0.0077,17.38,16.54
57.31,A,-88,20.12,Far,17.53,19.05,P,2.68,weak,trotting,0.6052,17.53,19.05
57.31,B,-84,34.55,Far,17.53,19.05,P,2.68,weak,trotting,0.6052,17.53,19.05
57.31,C,-74,5.72,Far,17.53,19.05,P,2.68,weak,trotting,0.6052,17.53,19.05
58.31,A,-83,20.24,Far,16.55,21.35,P,4.81,weak,trotting,0.0131,16.55,21.35
58.31,B,-82,32.69,Far,16.55,21.35,P,4.81,weak,trotting,0.0131,16.55,21.35
58.31,C,-78,6.26,Far,16.55,21.35,P,4.81,weak,trotting,0.0131,16.55,21.35
59.31,A,-85,20.74,Far,15.57,23.65,P,7.18,weak,trotting,0.5870,15.57,23.65
59.31,B,-87,32.89,Far,15.57,23.65,P,7.18,weak,trotting,0.5870,15.57,23.65
